name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
The SpongeBob SquarePants Movie,the-spongebob-squarepants-movie,44965,2004,,1,10,1,1,2024-04-25
Kamikaze Girls,kamikaze-girls,35443,2004,,0,10,1,1,2024-04-24
Buffalo '66,buffalo-66,47133,1998,,0,7,1,1,2024-04-16
Mr. Nobody,mr-nobody,31546,2009,,0,6,0,1,2024-04-06
Juno,juno,48051,2007,,0,8,1,1,2024-04-03
Pulp Fiction,pulp-fiction,51444,1994,,0,8,1,1,2024-03-01
Saw III,saw-iii,51842,2006,,1,9,1,1,2024-02-27
10 Things I Hate About You,10-things-i-hate-about-you,49047,1999,,0,7,0,0,2024-02-23
Saw II,saw-ii,51841,2005,,1,8,1,0,2024-02-10
Superbad,superbad,47776,2007,,0,9,1,0,2024-02-05
Welcome to the Dollhouse,welcome-to-the-dollhouse,45296,1995,,0,8,1,0,2024-01-31
Annabelle,annabelle,174952,2014,,1,3,0,0,2024-01-23
The Hunger Games: The Ballad of Songbirds & Snakes,the-hunger-games-the-ballad-of-songbirds-snakes,619510,2023,,0,9,1,0,2024-01-21
Uptown Girls,uptown-girls,42706,2003,,0,10,1,1,2024-01-20
Gia,gia,43018,1998,,0,8,1,1,2024-01-12
Good Will Hunting,good-will-hunting,51621,1997,,0,10,1,1,2024-01-08
Ring,ring-1998,50155,1998,,1,8,0,0,2024-01-06
Eternal Sunshine of the Spotless Mind,eternal-sunshine-of-the-spotless-mind,2683,2004,,0,9,1,0,2024-01-03
The Iron Claw,the-iron-claw-2023,764890,2023,,0,9,0,0,2024-01-03
Saltburn,saltburn,835774,2023,,0,,0,1,2023-12-28
Frozen,frozen-2013,87948,2013,,1,8,0,0,2023-12-23
Ginger Snaps,ginger-snaps,46762,2000,,0,8,1,0,2023-12-20
American Mary,american-mary,98772,2012,,0,3,0,1,2023-12-19
May,may,45798,2002,,0,10,1,0,2023-12-19
The Mule,the-mule,177101,2014,,0,6,0,1,2023-12-17
Carol,carol-2015,182142,2015,,0,9,1,0,2023-12-14
Audition,audition,45628,1999,,1,9,1,1,2023-12-10
Jigsaw,jigsaw-2017,225503,2017,,0,2,0,0,2023-12-10
An American Werewolf in London,an-american-werewolf-in-london,51338,1981,,0,8,0,1,2023-12-08
X,x-2022,680358,2022,,0,5,0,0,2023-12-08
Scott Pilgrim vs. the World,scott-pilgrim-vs-the-world,37833,2010,,0,10,1,0,2023-12-06
Scooby-Doo,scooby-doo,46964,2002,,1,10,1,0,2023-12-04
Bottoms,bottoms,731222,2023,,0,10,1,0,2023-12-03
Doggie Heaven,doggie-heaven,148343,2008,,0,2,0,0,2023-12-03
Saw X,saw-x,856036,2023,,0,8,0,0,2023-12-01
Cooties,cooties,169468,2014,,0,5,0,0,2023-11-29
"Girl, Interrupted",girl-interrupted,49671,1999,,1,9,1,0,2023-11-15
Saw 3D,saw-3d,23593,2010,,1,3,0,0,2023-11-12
Saw VI,saw-vi,37687,2009,,1,4,0,0,2023-11-11
Saw V,saw-v,44889,2008,,1,8,1,0,2023-11-10
Saw IV,saw-iv,51461,2007,,1,7,0,0,2023-11-10
Saw III,saw-iii,51842,2006,,1,9,1,0,2023-11-09
Saw II,saw-ii,51841,2005,,1,8,1,0,2023-11-09
Saw,saw,51875,2004,,1,8,1,0,2023-11-08
Five Nights at Freddy's,five-nights-at-freddys,436948,2023,,0,7,0,0,2023-10-31
Blue Beetle,blue-beetle,494248,2023,,0,8,0,0,2023-08-22
Oppenheimer,oppenheimer-2023,784328,2023,,0,8,0,0,2023-07-21
Barbie,barbie,277064,2023,,0,9,1,0,2023-07-20
Spider-Man: Across the Spider-Verse,spider-man-across-the-spider-verse,497631,2023,,0,8,0,0,2023-06-09
Spider-Man: Into the Spider-Verse,spider-man-into-the-spider-verse,251943,2018,,0,9,0,0,2023-06-01
The Batman,the-batman,348914,2022,,0,9,1,0,2022-03-04
